Date,BDI,VLSFO,BDI_lag_7d,BDI_lag_14d,BDI_lag_30d,BDI_avg_7d_final,BDI_avg_30d_final,BDI_volatility_7d_final,BDI_volatility_30d_final,BDI_relative_volatility_final,BDI_momentum_final,Fuel_momentum_final,BDI_change_7d_pct,BDI_change_14d_pct,BDI_change_30d_pct,BDI_vs_7d_avg_pct,BDI_vs_30d_avg_pct,Fuel_change_7d_pct,BDI_trend_strength,Fuel_lag_1,Fuel_avg_7d_final,Fuel_avg_30d_final,month,quarter,day_of_week,year
2023-03-20,1542,,1465.0,1558.0,538.0,1565.4,1192.090909090909,29.074043406450855,384.49248046283554,0.018572916447202537,-23.40000000000009,,5.255972696245734,-1.0269576379974326,186.6171003717472,-1.4948256036795764,29.352550903683376,,2.1145075291241504,,,,3,1,0,2023
2023-03-21,1512,,1587.0,1068.0,538.0,1550.4,1206.0,34.06317659878736,381.5289813845867,0.021970573141632713,-38.40000000000009,,-4.725897920604915,41.57303370786517,181.04089219330854,-2.4767801857585194,25.37313432835821,,18.42356789363013,,,,3,1,1,2023
2023-03-22,1456,,1603.0,1128.0,552.0,1521.0,1245.304347826087,40.19950248448538,356.8593350050324,0.026429653178491372,-65.0,,-9.170305676855897,29.078014184397162,163.76811594202897,-4.273504273504273,16.919209552405555,,9.953854253770633,,,,3,1,2,2023
2023-03-23,1484,,1560.0,1128.0,594.0,1505.8,1284.0,35.90543134401997,330.28968001932725,0.023844754511900632,-21.799999999999955,,-4.871794871794872,31.560283687943265,149.83164983164983,-1.447735423030944,15.57632398753894,,13.344244408074196,,,,3,1,3,2023
2023-03-24,1489,,1535.0,1780.0,674.0,1496.6,1319.4347826086957,32.26143208228867,304.59016072076605,0.021556482749090385,-7.599999999999909,,-2.996742671009772,-16.348314606741575,120.91988130563797,-0.5078177201657029,12.851352687250792,,-9.672528638875674,,,,3,1,4,2023
2023-03-27,1456,,1542.0,1465.0,883.0,1479.4,1368.3636363636363,23.82855429941375,272.8258725083705,0.01610690435271985,-23.40000000000009,,-5.577172503242543,-0.614334470989761,64.89241223103058,-1.5817223198594084,6.404464522986987,,-3.095753487116152,,,,3,1,0,2023
2023-03-28,1402,,1512.0,1587.0,883.0,1457.4,1369.8260869565217,34.565879129570675,266.64543229026424,0.02371749631506153,-55.40000000000009,,-7.2751322751322745,-11.657214870825456,58.77689694224235,-3.8012899684369486,2.348758966546054,,-9.466173572978866,,,,3,1,1,2023
2023-03-29,1407,,1456.0,1603.0,935.0,1447.6,1390.3478260869565,41.34368150032216,249.2550006237899,0.028560155775298537,-40.59999999999991,,-3.3653846153846154,-12.22707423580786,50.48128342245989,-2.804642166344288,1.1976984176621441,,-7.796229425596238,,,,3,1,2,2023
2023-03-30,1403,,1484.0,1560.0,990.0,1431.4,1408.304347826087,39.33573438999286,233.47988715841683,0.02748060248008443,-28.40000000000009,,-5.45822102425876,-10.064102564102564,41.717171717171716,-1.9840715383540652,-0.37664783427495574,,-7.761161794180662,,,,3,1,3,2023
2023-03-31,1389,,1489.0,1535.0,1250.0,1411.4,1414.3478260869565,25.832150510556584,230.98162238892536,0.018302501424512244,-22.40000000000009,,-6.715916722632639,-9.511400651465799,11.12,-1.5870766614708862,-1.792191822932676,,-8.113658687049218,,,,3,1,4,2023
2023-04-01,1176,,1489.0,1535.0,621.0,1372.1666666666667,1438.4782608695652,98.84010656948257,163.45304289978458,0.07203214374066505,-196.16666666666674,,-21.02081934184016,-23.387622149837135,89.3719806763285,-14.296125349204425,-18.246939700770742,,-22.204220745838647,,,,4,2,5,2023
2023-04-04,1473,,1402.0,1512.0,1558.0,1369.6,1446.5238095238096,112.98583982074923,161.3801781655941,0.08249550220557042,103.40000000000009,,5.064194008559201,-2.579365079365079,-5.455712451861361,7.549649532710287,1.8303321591993869,,1.242414464597061,,,,4,2,1,2023
2023-04-05,1545,,1407.0,1456.0,1558.0,1397.2,1451.0,138.40231211941523,158.8842046151461,0.09905690818738565,147.79999999999995,,9.808102345415778,6.112637362637362,-0.8344030808729139,10.578299456054964,6.47829083390765,,7.96036985402657,,,,4,2,2,2023
2023-04-07,1044,,1389.0,1489.0,1128.0,1309.5,1465.2380952380952,238.40092281700572,148.408525618266,0.18205492387705668,-265.5,,-24.838012958963283,-29.885829415715243,-7.446808510638298,-20.274914089347078,-28.748781280467984,,-27.361921187339263,,,,4,2,4,2023
2023-04-08,1136,,1176.0,1489.0,1128.0,1299.5,1450.2727272727273,246.56642107148312,160.94547488961294,0.18973945446054877,-163.5,,-3.4013605442176873,-23.70718603089322,0.7092198581560284,-12.581762216237014,-21.669905346956682,,-13.554273287555453,,,,4,2,5,2023
2023-04-09,1083,,1176.0,1489.0,1780.0,1256.2,1418.590909090909,234.4583118594858,161.54894852817773,0.1866409105711557,-173.20000000000005,,-7.908163265306123,-27.266621893888516,-39.157303370786515,-13.787613437350743,-23.65663750841103,,-17.58739257959732,,,,4,2,6,2023
2023-04-10,1778,,1176.0,1456.0,1462.0,1343.1666666666667,1432.9545454545455,298.9243494041037,178.72710703157446,0.22255194148462862,434.83333333333326,,51.19047619047619,22.115384615384613,21.61422708618331,32.3737436406502,24.079302141157807,,36.6529304029304,,,,4,2,0,2023
2023-04-12,3346,,1545.0,1407.0,1465.0,1677.4,1518.4545454545455,980.0468356155232,445.5441538990164,0.5842654319873155,1668.6,,116.56957928802589,137.81094527363186,128.39590443686006,99.47537856206033,120.355624738071,,127.19026228082888,,,,4,2,2,2023
2023-04-13,1463,,1545.0,1403.0,1587.0,1641.6666666666667,1512.8181818181818,880.939649843658,445.4200410702355,0.5366129846763399,-178.66666666666674,,-5.307443365695793,4.276550249465432,-7.813484562066793,-10.883248730964471,-3.2930713298479617,,-0.5154465581151806,,,,4,2,3,2023
2023-04-14,1435,,1044.0,1389.0,1603.0,1706.8333333333333,1505.1818181818182,841.4628730173821,445.24039909582586,0.49299650796839106,-271.83333333333326,,37.452107279693486,3.311735061195104,-10.480349344978166,-15.926179084073816,-4.662680437277288,,20.381921170444294,,,,4,2,4,2023
